PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
8157031;Colegio Británico St. George's School of Madrid;;;;BUS: 172, 173 METRO: María Tudor (línea 1 de Metro Ligero);Etapas educativas:  Primer ciclo de Educación Infantil Extranjero Segundo ciclo Educación Infantil Extranjero Educación Primaria Extranjero Educación Secundaria Extranjero Bachillerato Extranjero   Idioma: Español - Inglés  Edades: de 3 a 18 años;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ebf3abc52fece410VgnVCM2000000c205a0aRCRD;PADRES DOMINICOS;CALLE;V;1;;;;;MADRID;MADRID;28050;6;VALDEFUENTES;16;HORTALEZA;444345;4483740;40.50250618;-3.656843437;916 508 440;;sec.madrid@stgeorge.es;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5615;Colegio Británico The English Montessori School;;;Comedor - Transporte;BUS: 161 , 162;ENSEÑANZA: Sistema Educativo Británico ENSEÑANZA: Infantil segundo Ciclo - Primaria - Secundaria Obligatoria ALUMNOS: Españoles - Británicos - Extranjeros IDIOMA: Inglés EDAD: De 3 a 16 años;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=100cae10c471c010VgnVCM1000000b205a0aRCRD;LA SALLE;CALLE;V;2;;;;;MADRID;MADRID;28023;5;VALDEMARIN;9;MONCLOA-ARAVACA;433910;4479798;40.46623026;-3.779576958;913 572 667 - 913 572 668;913 071 543;info@tems.edu.es;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
4706188;Colegio Británico Todo Niños Nursery School;Centro docente extranjero en España;;;Bus: 7, 16, 19, 51 Metro: República Dominicana;Enseñanzas:  Primer ciclo de Educación Infantil Extranjero;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c9e0c76ae3c6110VgnVCM1000000b205a0aRCRD;SERRANO;CALLE;V;163;;;;;MADRID;MADRID;28002;1;EL VISO;5;CHAMARTIN;442010;4477709;40.4480075;-3.683847878;914 116 979 - 914 110 571;915 631 863;info@todoninos.es;; 
6151715;Colegio BrotMadrid;;;;Bus: 34, 155;ENSEÑANZA: Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Artes) Educación Secundaria Obligatoria para personas adultas;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea02124bb66b1310VgnVCM1000000b205a0aRCRD;BLAS CABRERA;CALLE;V;88;;;;;MADRID;MADRID;28044;7;LAS AGUILAS;10;LATINA;435071;4470012;40.37817005;-3.764879256;917 107 865;;secretaria@colegiobrotmadrid.es;/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPrivadasGuarderias; 
5398;Colegio Calasancio Nuestra Señora de las Escuelas Pías. Calle Conde Peñalver;;;Comedor - Horario ampliado;METRO: Lista BUS: 1 , 26 , 29 , 52 , 61 , 74;ENSEÑANZA: Educación Infantil  (primer y segundo ciclo) - Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Ciencias  - Artes:);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a367b503a71c010VgnVCM1000000b205a0aRCRD;"CONDE DE PE&amp;Ntilde;ALVER";CALLE;V;51;;;;;MADRID;MADRID;28006;5;LISTA;4;SALAMANCA;442712;4475821;40.43105708;-3.675411728;914 449 400;914 016 433;cc.calasancio.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5399;Colegio Cardenal Spinola;;;;METRO: Pio XII BUS: 16 , 29 , 70 , 107 , 150;ENSEÑANZA: Educación Infantil (primer y segundo ciclo) - Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Ciencias);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d467b503a71c010VgnVCM1000000b205a0aRCRD;CARDENAL MARCELO SPINOLA;CALLE;NUM;34;;;;;MADRID;MADRID;28016;6;CASTILLA;5;CHAMARTIN;443056;4479874;40.46759208;-3.67171982;913 022 040;917 661 395;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5403;Colegio Casa de La Virgen;;;;METRO: Barrio de la Concepción BUS: 21 , 48 , 146;ENSEÑANZA: Educación Infantil (Primer y segundo ciclo) - Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Ciencias y Tecnología);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef567b503a71c010VgnVCM1000000b205a0aRCRD;VIRGEN DEL VAL;CALLE;NUM;1;;;;;MADRID;MADRID;28027;4;CONCEPCION;15;CIUDAD LINEAL;444426;4476348;40.43591186;-3.655251701;914 041 786 - 914 041 788;913 269 087;admin@casavirgen.org;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
6082;Colegio Cenit;;;Comedor;METRO: Ascao BUS: 38 , 109;ENSEÑANZA: Educación Infantil (segundo ciclo) - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a1aae10c471c010VgnVCM1000000b205a0aRCRD;VITAL AZA;CALLE;NUM;31;;;;;MADRID;MADRID;28017;2;PUEBLO NUEVO;15;CIUDAD LINEAL;445453;4475869;40.43167376;-3.64310266;914 087 145;914 087 145;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5348;Colegio Central;;;;METRO: Usera BUS: 6 , 47 , 78 , 247;"ENSEÑANZA: Educación Infantil - Primaria - Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=92767b503a71c010VgnVCM1000000b205a0aRCRD;MANUEL MUÑOZ;CALLE;NUM;9;;;;;MADRID;MADRID;28026;4;ALMENDRALES;12;USERA;440415;4470819;40.38582625;-3.702021975;914 759 629;912 450 019;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5529;Colegio Centro Cultural Elfo;;;Comedor - Horario ampliado;METRO: Quintana BUS: 21 , 38 , 48 , 146;"ENSEÑANZA: Educación Infantil (segundo ciclo) - Primaria - ESO - BACHILLERATO (Humanidades y C. Sociales - Ciencias y Tecnología) - Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0d2aae10c471c010VgnVCM1000000b205a0aRCRD;ELFO;CALLE;NUM;74;;;;;MADRID;MADRID;28027;3;QUINTANA;15;CIUDAD LINEAL;444964;4476146;40.43412791;-3.648891358;913 673 653;914 081 287;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5714;Colegio Centro Cultural Palomeras;;;Comedor - Horario ampliado - Trastornos generales del desarrollo;Bus: 54 Metro: Alto del Arenal;"ENSEÑANZA: Educación Infantil - Primaria - ESO - Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bf3aae10c471c010VgnVCM1000000b205a0aRCRD;LUIS MARIN;CALLE;S/N;0;;;;;MADRID;MADRID;28038;4;PALOMERAS SURESTE;13;PUENTE DE VALLECAS;445735;4471500;40.39233371;-3.639393747;917 863 865;917 863 865;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5408;Colegio Centro Cultural Salmantino;;;Comedor - Horario ampliado;Metro: Nueva Numancia  Bus: 54 , 57 , 58 , 136 , 10 , 111 , 24 , 310;Enseñanzas:  Segundo Ciclo de Educación Infantil Educación Primaria Educación Secundaria Obligatoria Formación Profesional Básica:  ADMINISTRACIÓN Y GESTIÓN: Servicios Administrativos   Formación Profesional de grado medio:  ADMINISTRACIÓN Y GESTIÓN: Gestión Administrativa COMERCIO Y MARKETING: Actividades Comerciales   Formación Profesional de grado superior:  ADMINISTRACIÓN: Administración y Finanzas COMERCIO Y MARKETING: Marketing y publicidad INFORMÁTICA Y COMUNICACIONES: Desarrollo de Aplicaciones Multiplataforma   Curso preparatorio prueba de acceso Grado Medio Curso preparatorio prueba de acceso Grado Superior;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=45867b503a71c010VgnVCM1000000b205a0aRCRD;PUERTO DE PAJARES;CALLE;V;6;;;;;MADRID;MADRID;28053;2;SAN DIEGO;13;PUENTE DE VALLECAS;443611;4471852;40.39535464;-3.664449934;914 786 571;914 789 110;cc.salmantino.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/CentrosFormacionProfesionalPrivadosConcertados; 
5504;Colegio Cervantes;;;Comedor;METRO: Opañel BUS: 47 , 55, 81, 108, 247;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=625aae10c471c010VgnVCM1000000b205a0aRCRD;ELVAS;CALLE;V;2;;;;;MADRID;MADRID;28025;7;ABRANTES;11;CARABANCHEL;438551;4470972;40.38519634;-3.725260234;914 606 748;914 608 036;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
6182;Colegio CEU San Pablo de Claudio Coello;;;;"METRO: ARG&amp;Uuml;ELLES BUS: 1, 2, 21, 202, 44, 133, C1, C2";ENSEÑANZA: BACHILLERATO (Humanidades y C. Sociales - Ciencias y Tecnología);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2578f3216571c010VgnVCM1000000b205a0aRCRD;MARTIN DE LOS HEROS;CALLE;V;60;;;;;MADRID;MADRID;28008;2;ARGUELLES;9;MONCLOA-ARAVACA;439168;4475583;40.42865251;-3.71715623;91 561 52 40;;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5931650;Colegio CEU San Pablo. Sanchinarro;;;;Bus: 172;"Enseñanzas:   Segundo Ciclo de Educación Infantil Educación Primaria Educación Secundaria Obligatoria Bachillerato (Ciencias - Humanidades y Ciencias Sociales)   Colegio Biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb2b063772dbd210VgnVCM2000000c205a0aRCRD;ALCALDE CONDE DE MAYALDE;AVENIDA;V;45;;;;;MADRID;MADRID;28050;6;VALDEFUENTES;16;HORTALEZA;444859;4482801;40.49407257;-3.650695733;913 923 440 - 913 923 441;;cc.ceusanchinarro.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5517;Colegio Chamberí (MARISTAS);;;Comedor - Horario ampliado;METRO: Iglesia BUS: 3 , 5 , 7 , 16 , 40 , 61 , 147;"ENSEÑANZA: Educación Infantil - Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Ciencias y Tecnología - Artes: Artes plásticas, diseño e imagen) - Enseñanza Biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=156aae10c471c010VgnVCM1000000b205a0aRCRD;RAFAEL CALVO;CALLE;NUM;12;;;;;MADRID;MADRID;28010;4;ALMAGRO;7;CHAMBERI;441008;4476132;40.43373968;-3.69551682;914 456 250;914 440 340;direccion@chamberi.es;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
10830569;Colegio Ciudad de los Muchachos;;;;BUS: 8, 113, 141;ENSEÑANZA: Educación Infantil (segundo ciclo) - Primaria - ESO  Formación Profesional Básica: Administración y gestión ( Servicios administrativos) - Electricidad y electrónica (Electricidad y electrónica) - Informática y comunicaciones  (Informática y comunicaciones)- Transporte y mantenimiento de vehículos (Mantenimiento de vehículos). Formación Profesional de grado medio: Administración y gestión ( Gestión administrativa) - Electricidad y electrónica (Instalaciones eléctricas y automáticas) - Informática y comunicaciones  (Sistemas microinformáticos y redes)- Transporte y mantenimiento de vehículos (Carrocería - Electromecánica de vehículos automóviles). Formación Profesional de grado superior: Administración y gestión (Administración y finanzas);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=39111adbea537610VgnVCM1000001d4a900aRCRD;SANTA MARTA;CALLE;V;15;;;;;MADRID;MADRID;28038;6;NUMANCIA;13;PUENTE DE VALLECAS;443822;4472671;40.40275791;-3.662025231;914 342 030;915 017 177;direccion@ciudaddelosmuchachos.com;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5415;Colegio Claret;;;;METRO: Cartagena BUS: 1 , 43 , 72 , 114 , 115 , 122;"ENSEÑANZA: Educación Infantil - Primaria - ESO - Bachillerato (Humanidades y Ciencias Sociales -Ciencias -  Artes) Enseñanza Biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=aaa67b503a71c010VgnVCM1000000b205a0aRCRD;CORAZON DE MARIA;CALLE;NUM;1;;;;;MADRID;MADRID;28002;2;PROSPERIDAD;5;CHAMARTIN;442998;4476855;40.44039159;-3.672121096;914 152 154;914 167 092;info@claretmadrid.es;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5508;Colegio Comunidad Infantil Villaverde;;;;BUS: 22 , 79 RENFE: Villaverde Alto;ENSEÑANZA: Educación Infantil (Primer y segundo ciclo) - Primaria - ESO;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c77aae10c471c010VgnVCM1000000b205a0aRCRD;VILLASTAR;CALLE;NUM;10;;;;;MADRID;MADRID;28021;;SAN ANDRES;;VILLAVERDE;439568;4466103;40.34328098;-3.711553432;917 950 884;917 100 331;comunidadinfantildevillaverde@gmail.com;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5511;Colegio Corazón de María;;;Comedor - Transporte - Horario ampliado;METRO: Pueblo Nuevo , Barrio de la Concepción BUS: 48 , 146;"ENSEÑANZA: Educación Infantil - Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Ciencias y Tecnología) - Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d9aae10c471c010VgnVCM1000000b205a0aRCRD;ZIGIA;CALLE;NUM;1;;;;;MADRID;MADRID;28027;3;QUINTANA;15;CIUDAD LINEAL;445229;4476622;40.43844248;-3.645808285;913 671 269;913 682 106;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5417;Colegio Corazón Inmaculado;;;Comedor;METRO: Cruz del Rayo , Prosperidad BUS: 1 , 9 , 29 , 52 , 73;ENSEÑANZA: Educación Infantil - Primaria - ESO - BACHILLERATO (Humanidades y C. Sociales - Ciencias y Tecnología);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5db67b503a71c010VgnVCM1000000b205a0aRCRD;LOPEZ DE HOYOS;CALLE;NUM;59;;;;;MADRID;MADRID;28002;3;CIUDAD JARDIN;5;CHAMARTIN;442599;4477073;40.44231899;-3.676845074;915 618 049 - 915 618 725;915 618 049;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5512;Colegio Corpus Christi;;;Comedor;BUS: 11 , 21 , 70 , 114;ENSEÑANZA: Educación Infantil - Primaria - ESO - BACHILLERATO (Humanidades y C. Sociales - Ciencias y Tecnología);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dfaaae10c471c010VgnVCM1000000b205a0aRCRD;AMARA;CALLE;NUM;4;;;;;MADRID;MADRID;28027;5;SAN PASCUAL;15;CIUDAD LINEAL;444925;4477380;40.44524186;-3.649458113;913 679 327;914 086 723;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5515;Colegio Cristo Rey. Avenida San Luis;;;Comedor - Transporte - Horario ampliado;BUS: 107;"Enseñanzas:  Segundo Ciclo de Educación Infantil Educación Primaria Educación Secundaria Obligatoria Bachillerato (Ciencias - Humanidades y Ciencias Sociales)   Enseñanza bling&amp;uuml;e.";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35daae10c471c010VgnVCM1000000b205a0aRCRD;SAN LUIS;AVENIDA;NUM;29;;;;;MADRID;MADRID;28033;5;APOSTOL SANTIAGO;16;HORTALEZA;444129;4480238;40.47093502;-3.659095548;913 021 636;917 668 471;direccion@colegiocristoreymadrid.es;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5514;Colegio Cristo Rey. Calle Santa Úrsula;;;;METRO: Puerta del Angel BUS: 31 , 33 , 36 , 39 , 65 RENFE: Puerta del Angel;ENSEÑANZA: Educación Infantil - Primaria - ESO - BACHILLERATO (Humanidades y C. Sociales - Ciencias y Tecnología);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e7eaae10c471c010VgnVCM1000000b205a0aRCRD;SANTA URSULA;CALLE;NUM;5;;;;;MADRID;MADRID;28011;2;PUERTA DEL ANGEL;10;LATINA;438028;4473782;40.41235314;-3.730431194;91 464 55 73 - 914 636 445;915 260 656;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
6184;Colegio Cumbre;;;;METRO: Colombia BUS: 7 , 11 , 40 , 87;ENSEÑANZAS: Educación Secundaria Obligatoria - Bachillerato (Humanidades y Ciencias Sociales - Ciencias) - Enseñanza inicial básica para personas adultas - Educación Secundaria Obligatoria para personas adultas.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4d0bae10c471c010VgnVCM1000000b205a0aRCRD;COSTA RICA;CALLE;NUM;25;;;;;MADRID;MADRID;28016;5;NUEVA ESPAÑA;5;CHAMARTIN;443219;4478907;40.45889205;-3.669710683;913 594 070 - 913 592 584;913 504 207;cumbre@colegiocumbre.com;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5516;Colegio Cumbre Oxford;;;Comedor;RENFE: Entrevías BUS: 24 , 103 , 111;ENSEÑANZAS: Educación Infantil Segundo Ciclo - Educación Primaria - Aula de Educación de Personas Adultas;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9afaae10c471c010VgnVCM1000000b205a0aRCRD;BUENDIA;CALLE;NUM;50;;;;;MADRID;MADRID;28053;1;ENTREVIAS;13;PUENTE DE VALLECAS;442999;4470399;40.38223246;-3.671542707;915 075 753;915 075 753;cc.cumbreoxford.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
6046;Colegio de Jesús;;;;METRO: Barajas BUS: 105 , 115;ENSEÑANZA: Educación Infantil - Primaria - ESO;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ff1bae10c471c010VgnVCM1000000b205a0aRCRD;TIMON;CALLE;NUM;18;;;;;MADRID;MADRID;28042;4;TIMON;21;BARAJAS;450522;4480614;40.47285639;-3.584983283;917 477 022 - 917 476 014;913 295 868;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5520;Colegio Decroly;;;Comedor - Transporte;METRO: Islas Filipinas BUS: 2 , 12 , 16 , 61 , 202;"ENSEÑANZA: Educación Infantil - Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Ciencias). Enseñanza Biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a23bae10c471c010VgnVCM1000000b205a0aRCRD;GUZMAN EL BUENO;CALLE;V;60;;;;;MADRID;MADRID;28015;1;GAZTAMBIDE;7;CHAMBERI;439648;4476713;40.43699426;-3.712882379;915 492 505- 915 492 507;915 492 509;"cc.decroly.madrid@educa.madrid.org; direcciontecnica@colegiodecroly.com";/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5821;Colegio Diocesano Cristo de la Guía;;;Comedor;BUS: 4 , 100 , 106 , 130;"ENSEÑANZA: Educación infantil (Primer y segundo ciclo) - Educación Primaria. Enseñanza biling&amp;uuml;e.";1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc94f3216571c010VgnVCM1000000b205a0aRCRD;EZCARAY;CALLE;NUM;3;;;;;MADRID;MADRID;28032;;AMBROZ;;VICALVARO;447931;4473480;40.41031103;-3.613682106;917 768 593;917 762 246;cristodelaguia@hotmail.com;/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPrivadasGuarderias; 
5381;Colegio Diocesano María Inmaculada. Calle Joaquín Turina;;;Comedor;Bus: 34 , 35 , 47 , 139;Enseñanzas impartidas: - Educación infantil egundo ciclo - Primaria - ESO - Bachillerato (Humanidades y Ciencias Sociales - Ciencias) - Formación Profesional de Grado Medio: Gestión administrativa - Actividades comerciales;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea877b503a71c010VgnVCM1000000b205a0aRCRD;JOAQUIN TURINA;CALLE;V;62;;;;;MADRID;MADRID;28044;6;BUENAVISTA;11;CARABANCHEL;435742;4469551;40.37213952;-3.757984098;"915 093 005 (Educación Infantil y Primaria)         
915 092 950 (ESO, Bachillerato, CF)";917 051 461;colegiojoaquinturina@fmariainmaculada.org;/contenido/entidadesYorganismos/CentrosEducacion/CentrosFormacionProfesionalPrivadosConcertados; 
6746;Colegio Dionisia Plaza;;;Comedor - Transporte;BUS: 160 , 161;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=92f43b54d771c010VgnVCM1000000b205a0aRCRD;ESPINOS;CALLE;NUM;10;;;;;MADRID;MADRID;28023;7;ARAVACA;9;MONCLOA-ARAVACA;434157;4479346;40.46217814;-3.776616779;913 079 342 - 913 079 343;913 573 545;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5522;Colegio Divina Pastora. Calle Emilio Ortuño;;;;METRO: Puente de Vallecas BUS: 8 , 10 , 24 , 37 , 54 , 56 , 57 , 58 , 111 , 136 , 141 , 148 , 310;"ENSEÑANZA: Educación Infantil - Primaria - ESO Enseñanza Biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=554bae10c471c010VgnVCM1000000b205a0aRCRD;EMILIO ORTUÑO;CALLE;NUM;13;;;;;MADRID;MADRID;28038;6;NUMANCIA;13;PUENTE DE VALLECAS;443431;4472254;40.39897282;-3.666618384;914 331 150;914 331 251;"cc.divinapastora.madrid@educa.madrid.org;  secretaria._dpv@edu.anamogas.org";/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5523;Colegio Divina Pastora. Calle Santa Engracia;;;Comedor - Horario ampliado;METRO: Rios Rosas BUS: 3 , 12 , 37 , 45 , 149;"Enseñanzas impartidas:   Primer Ciclo de Educación Infantil    Segundo Ciclo de Educación Infantil   Educación Primaria   Educación Secundaria Obligatoria   Bachillerato (Ciencias - Humanidades y Ciencias Sociales)   Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=085bae10c471c010VgnVCM1000000b205a0aRCRD;SANTA ENGRACIA;CALLE;NUM;142;;;;;MADRID;MADRID;28003;5;RIOS ROSAS;7;CHAMBERI;440429;4477275;40.44398605;-3.702449826;915 341 012;915 538 504;cc.dpastora.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5524;Colegio Divino Corazón;;;;METRO: Ventilla BUS: 42 , 49;ENSEÑANZA: Educación Infantil - Primaria - ESO;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba6bae10c471c010VgnVCM1000000b205a0aRCRD;DIVINO REDENTOR;CALLE;NUM;55;;;;;MADRID;MADRID;28029;5;VALDEACEDERAS;6;TETUAN;440640;4480070;40.46917959;-3.700235078;913 158 107;913 150 210;direccion@doctrinacristianamadrid.es;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
5525;Colegio Divino Maestro;;;;METRO: Alto de Extremadura BUS: 31 , 33 , 36 , 39 , 65;"ENSEÑANZAS: Educación Infantil Segundo Ciclo - Educación Primaria -  Educación Secundaria Obligatoria - Enseñanza biling&amp;uuml;e -Educación Básica para personas adultas - Tercer tramo Educación Básica para personas adultas";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d7bae10c471c010VgnVCM1000000b205a0aRCRD;EXTREMADURA;PASEO;NUM;165;;;;C/ DANTE, 10;MADRID;MADRID;28011;3;LUCERO;10;LATINA;436948;4473316;40.40806511;-3.743113094;914 632 304 - 914 649 481;914 640 918;cc.divinomaestro.madrid@educa.madrid.org;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
6049;Colegio Dos Parques;;;Comedor - Horario ampliado;BUS: 18 , 55 , 60;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=109bae10c471c010VgnVCM1000000b205a0aRCRD;SAN ANASTASIO;CALLE;NUM;4;;;;;MADRID;MADRID;28005;2;ACACIAS;2;ARGANZUELA;440416;4472306;40.39734941;-3.703414274;914 739 985;914 739 985;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados; 
